param_name,param_value,pnl,fills,fill_rate,max_drawdown,orders,adjusted_pnl
confidence_threshold,0.9,105,1,1.0,385,1,210.0
confidence_threshold,0.93,105,1,1.0,385,1,210.0
confidence_threshold,0.95,105,1,1.0,385,1,210.0
confidence_threshold,0.97,105,1,1.0,385,1,210.0
ladder_depth,2,105,1,1.0,385,1,210.0
ladder_depth,3,105,1,1.0,385,1,210.0
ladder_depth,4,105,1,1.0,385,1,210.0
level_quantity,5,105,1,1.0,385,1,210.0
level_quantity,10,105,1,1.0,385,1,210.0
level_quantity,15,105,1,1.0,385,1,210.0
exit_price_cents,95,105,1,1.0,385,1,210.0
exit_price_cents,96,105,1,1.0,385,1,210.0
exit_price_cents,97,105,1,1.0,385,1,210.0
exit_price_cents,98,105,1,1.0,385,1,210.0
reprice_threshold,1,105,1,1.0,385,1,210.0
reprice_threshold,2,105,1,1.0,385,1,210.0
reprice_threshold,3,105,1,1.0,385,1,210.0
